
央视蓝光,#genre#
CGTN法语,http://[2409:8087:1070:301:2028::11]:80/wh7f454c46tw4204049046_649004065/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225974/10000100000000060000000000890992_0.smil/01.m3u8?fmt=ts2hls&$8M内蒙古
CGTN阿语,http://[2409:8087:1050:301:2026::17]:80/wh7f454c46tw4204330770_1478704105/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225975/10000100000000060000000000890985_0.smil/01.m3u8?fmt=ts2hls&$8M内蒙古
CGTN俄语,http://[2409:8087:1020:301:2026::19]:80/wh7f454c46tw4204605914_-1018338776/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225976/10000100000000060000000000890984_0.smil/01.m3u8?fmt=ts2hls&$8M内蒙古
CGTN西语,http://[2409:8087:1070:301:2028::11]:80/wh7f454c46tw4203756403_1912599397/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225973/10000100000000060000000000890993_0.smil/01.m3u8?fmt=ts2hls&$8M内蒙古
CCTV1,http://[2409:8087:5c00:10:5::123]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225924/index.m3u8?$5M广西
CCTV1,http://[2409:8087:5c00:10:5::96]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225654/index.m3u8?$4M广西
CCTV1,http://[2409:8087:5c00:10:5::138]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225888/index.m3u8?$4M广西
CCTV1,http://[2409:8087:5c00:10:5::137]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225894/index.m3u8?$4M广西
CCTV2,http://[2409:8087:5c00:10:5::149]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225657/index.m3u8?$4M广西
CCTV3,http://[2409:8087:5c00:10:5::87]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225713/index.m3u8?$4M广西
CCTV4,http://[2409:8087:5c00:10:5::144]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225761/index.m3u8?$广西
CCTV5,http://[2409:8087:5c00:10:5::92]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225801/index.m3u8?$广西
CCTV5,http://[2409:8087:5c00:10:5::95]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225660/index.m3u8?$4M广西
CCTV6,http://[2409:8087:5c00:10:5::119]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225715/index.m3u8?$4M广西
CCTV7,http://[2409:8087:5c00:10:5::118]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225700/index.m3u8?$4M广西
CCTV8,http://[2409:8087:5c00:10:5::92]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225716/index.m3u8?$4M广西
CCTV9,http://[2409:8087:5c00:10:5::87]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225663/index.m3u8?$4M广西
CCTV10,http://[2409:8087:5c00:10:5::119]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225704/index.m3u8?$4M广西
CCTV11,http://[2409:8087:5c00:10:5::72]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225739/index.m3u8?$4M广西
CCTV12,http://[2409:8087:5c00:10:5::88]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225645/index.m3u8?$4M广西
CCTV13,http://[2409:8087:5c00:10:5::74]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225742/index.m3u8?$4M广西
CCTV13,http://[2409:8087:5c00:10:5::143]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225759/index.m3u8?$4M广西
CCTV14,http://[2409:8087:5c00:10:5::96]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225648/index.m3u8?$4M广西
CCTV15,http://[2409:8087:5c00:10:5::92]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225693/index.m3u8?$4M广西
CCTV16,http://[2409:8087:5c00:10:5::151]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225956/index.m3u8?$4M广西
CCTV17,http://[2409:8087:5c00:10:5::120]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225766/index.m3u8?$4M广西
CCTV1,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221226225/index.m3u8?$10M江西
CCTV1,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226225/index.m3u8?$10M江西
CCTV1,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226209/index.m3u8?$10M江西
CCTV1,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221226225/index.m3u8?$10M江西
CCTV1,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221226209/index.m3u8?$10M江西
CCTV1,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221226209/index.m3u8?$10M江西
CCTV2,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225643/index.m3u8?$15M江西
CCTV3,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225634/index.m3u8?$15M江西
CCTV4,http://[2409:8087:3800:20:1000::806]:8080/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221225621/index.m3u8?$4M江西
CCTV5,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225648/index.m3u8?$4M江西
CCTV5+,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225706/index.m3u8?$15M江西
CCTV5+,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225706/index.m3u8?$15M江西
CCTV6,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225632/index.m3u8?$15M江西
CCTV7,http://[2409:8087:3800:20:1000::803]:8080/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221225644/index.m3u8?$8M江西
CCTV8,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225631/index.m3u8?$15M江西
CCTV9,http://[2409:8087:3800:20:1000::805]:8080/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221225646/index.m3u8?$8M江西
CCTV10,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225636/index.m3u8?$15M江西
CCTV11,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225628/index.m3u8?$4M江西
CCTV12,http://[2409:8087:3800:20:1000::802]:8080/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221225637/index.m3u8?$8M江西
CCTV13,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225638/index.m3u8?$4M江西
CCTV14,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225640/index.m3u8?$16M江西
CCTV15,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225641/index.m3u8?$4M江西
CCTV15,http://[2409:8087:3800:20:1000::805]:8080/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221225641/index.m3u8?$4M江西
CCTV16,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226233/index.m3u8?$15M江西
CCTV17,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225909/index.m3u8?$16M江西

超清频道,#genre#
CCTV4K,http://[2409:8087:2001:20:2800:0:df6e:eb13]/ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8?$18M江苏
CCTV4K,http://[2409:8087:2001:20:2800:0:df6e:eb12]/ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8?$18M江苏
纯享4K HDR,http://[2409:8087:2001:20:2800:0:df6e:eb10]/ott.mobaibox.com/PLTV/3/224/3221228242/index.m3u8?$25M江苏1
纯享4K HDR,http://[2409:8087:2001:20:2800:0:df6e:eb11]/ott.mobaibox.com/PLTV/3/224/3221228242/index.m3u8?$25M江苏1
纯享4K HDR,http://[2409:8087:2001:20:2800:0:df6e:eb1c]/ott.mobaibox.com/PLTV/3/224/3221228242/index.m3u8?$江苏1
纯享4K HDR,http://[2409:8087:2001:20:2800:0:df6e:eb1e]/ott.mobaibox.com/PLTV/3/224/3221228242/index.m3u8?$江苏1
纯享4K HDR,http://[2409:8087:2001:20:2800:0:df6e:eb1f]/ott.mobaibox.com/PLTV/3/224/3221228242/index.m3u8?$24M江苏1
纯享4K HDR,http://[2409:8087:2001:20:2800:0:df6e:eb02]/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8?$29M江苏2
纯享4K HDR,http://[2409:8087:2001:20:2800:0:df6e:eb03]/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8?$29M江苏2
纯享4K HDR,http://[2409:8087:2001:20:2800:0:df6e:eb1f]/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8?$江苏2
纯享4K,http://[2409:8087:2001:20:2800:0:df6e:eb10]/ott.mobaibox.com/PLTV/3/224/3221227506/index.m3u8?$17M江苏
纯享4K,http://[2409:8087:2001:20:2800:0:df6e:eb11]/ott.mobaibox.com/PLTV/3/224/3221227506/index.m3u8?$17M江苏
4K修复 HEVC,http://[2409:8087:2001:20:2800:0:df6e:eb14]/ott.mobaibox.com/PLTV/3/224/3221228141/index.m3u8?$9M江苏
4K修复 HEVC,http://[2409:8087:2001:20:2800:0:df6e:eb15]/ott.mobaibox.com/PLTV/3/224/3221228141/index.m3u8?$9M江苏
4K修复 HEVC,http://[2409:8087:2001:20:2800:0:df6e:eb1c]/ott.mobaibox.com/PLTV/3/224/3221228141/index.m3u8?$10M江苏
欢笑剧场,http://[2409:8087:2001:20:2800:0:df6e:eb1a]/ott.mobaibox.com/PLTV/3/224/3221227715/index.m3u8?$12M江苏
欢笑剧场,http://[2409:8087:2001:20:2800:0:df6e:eb1b]/ott.mobaibox.com/PLTV/3/224/3221227715/index.m3u8?$12M江苏
欢笑剧场,http://[2409:8087:2001:20:2800:0:df6e:eb1c]/ott.mobaibox.com/PLTV/3/224/3221227715/index.m3u8?$12M江苏
欢笑剧场,http://[2409:8087:2001:20:2800:0:df6e:eb1e]/ott.mobaibox.com/PLTV/3/224/3221227715/index.m3u8?$11M江苏
欢笑剧场,http://[2409:8087:2001:20:2800:0:df6e:eb1f]/ott.mobaibox.com/PLTV/3/224/3221227715/index.m3u8?$12M江苏
CCTV16 HDR,http://[2409:8087:2001:20:2800:0:df6e:eb18]/ott.mobaibox.com/PLTV/3/224/3221228127/index.m3u8?$28M江苏
CCTV16 HDR,http://[2409:8087:2001:20:2800:0:df6e:eb19]/ott.mobaibox.com/PLTV/3/224/3221228127/index.m3u8?$28M江苏
CCTV16,http://[2409:8087:2001:20:2800:0:df6e:eb04]/ott.mobaibox.com/PLTV/3/224/3221228314/index.m3u8?$18M江苏1
CCTV16,http://[2409:8087:2001:20:2800:0:df6e:eb05]/ott.mobaibox.com/PLTV/3/224/3221228314/index.m3u8?$18M江苏1
CCTV16,http://[2409:8087:2001:20:2800:0:df6e:eb08]/ott.mobaibox.com/PLTV/3/224/3221228168/index.m3u8?$25M江苏2
CCTV16,http://[2409:8087:2001:20:2800:0:df6e:eb09]/ott.mobaibox.com/PLTV/3/224/3221228168/index.m3u8?$24M江苏2
CCTV16,http://[2409:8087:2001:20:2800:0:df6e:eb1a]/ott.mobaibox.com/PLTV/3/224/3221228168/index.m3u8?$25M江苏2
CCTV16,http://[2409:8087:2001:20:2800:0:df6e:eb1b]/ott.mobaibox.com/PLTV/3/224/3221228168/index.m3u8?$24M江苏2
CCTV4K,https://p.ggiptv.com/v/4k.m3u8?$24Mpg
CCTV4K,http://open.live-web.timetv.cn/live03/cctv4k.m3u8?$24Mop
CCTV4K,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226998/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178&$17M福建
CCTV4K,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221226998/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178&$17M福建
欢笑剧场,http://[2409:8087:7001:20:2::4]/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226582/index.m3u8?$15M陕回
欢笑剧场,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002156/index.m3u8?virtualDomain=yinhe.live_hls.zte.com?$15M陕西
欢笑剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226582/index.m3u8?$15M陕回
纯享4K,http://[2409:8087:5c00:10:5::121]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225726/index.m3u8?$17M广西
纯享4K,http://[2409:8087:5c00:10:5::84]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225863/index.m3u8?$29M广西
纯享4K,http://[2409:8087:5c00:10:5::153]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225863/index.m3u8?$30M广西
纯享4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225786/index.m3u8?$17M江西
纯享4K,http://[2409:8087:3800:2020:1000::81d]:8080/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221225786/index.m3u8?$江西
纯享4K,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225786/index.m3u8?$17M江西
纯享4K,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225786/index.m3u8?$17M江西
纯享4K,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225786/index.m3u8?$17M江西
纯享4K,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226825/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178&$17M福建
纯享4K,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221226825/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178&$17M福建
纯享4K,http://39.135.138.60:18890/PLTV/88888910/224/3221225786/index.m3u8?$17M江西
纯享4K,http://39.135.138.59:18890/PLTV/88888910/224/3221225786/index.m3u8?$17M江西
纯享4K,http://39.134.116.30/PLTV/88888910/224/3221225786/index.m3u8?$17M江西
纯享4K,http://39.134.115.163:8080/PLTV/88888910/224/3221225786/index.m3u8?$17江西
纯享4K,http://117.169.120.221:8080/wh7f454c46tw1485335032_-687149174/hwrr.jx.chinamobile.com/PLTV/88888910/224/3221225786/index.m3u8?$17M江西
爱上4K,http://[2409:8087:1070:301:2026::12]:80/wh7f454c46tw4179594525_1038075197/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225858/10000100000000060000000000262129_0.smil/01.m3u8?fmt=ts2hls&$22M内蒙古
爱上4K,http://[2409:8087:1070:301:2026::1f]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225858/index.m3u8?fmt=ts2hls&$22M内蒙古
爱上4K,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001709/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&$20M陕西
爱上4K,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000459/index.m3u8?IAS&&$21M海南
爱上4K,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000459/index.m3u8?IAS&&$21M海南
爱上4K,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/00000001000000060000000000000459/index.m3u8?IAS&&$21M海南
爱上4K,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000459/index.m3u8?IAS&&$21M海南
爱上4K,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226352/index.m3u8?$20M陕回
纯享4K,http://39.134.115.163:8080/PLTV/88888910/224/3221225786/index.m3u8?$17M江西
纯享4K,http://39.135.138.58:18890/PLTV/88888888/224/3221225786/index.m3u8?$17M江西
纯享4K,http://39.137.49.76:8080/PLTV/88888910/224/3221225786/index.m3u8?$17M江西
北京IPTV4K超清,http://219.142.147.211:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
北京IPTV4K超清,http://219.142.148.47:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
芒果TV,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221226887/index.m3u8?servicetype=1
河南卫视 4K,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8?$6M河南
河南卫视 4K,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226526/index.m3u8?$河南
河南卫视 4K,http://[2409:8087:4402:20:1:1216:401:11]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226526/index.m3u8?$河南
河南卫视 4K,http://[2409:8087:4402:20:1:1216:401:13]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226526/index.m3u8?$河南
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8?$3840x2160
苏州4K,http://liveshowbak2.kan0512.com/norecord/csztv4k_4k.m3u8?$3840x2160
苏州4K,http://1972762443.cloudvdn.com/a.m3u8?domain=liveshowbak2.kan0512.com&player=TsoAAKTAB9juCfgW&secondToken=secondToken%3Aquo0xZnAeUUm47BcklXb7ffCum8&streamid=ksz-norecord%3Aksz-norecord%2Fcsztv4k_4k&v3=1&$3840x2160
苏州4K,http://3740480834.cloudvdn.com/a.m3u8?domain=liveshowbak2.kan0512.com&player=wIgAANH1UieYTeIW&secondToken=secondToken%3AlDV9er1_pa4JZ7B_HTFDHqOPHaI&streamid=ksz-norecord%3Aksz-norecord%2Fcsztv4k_4k&v3=1&$3840x2160
苏州4K,http://3740480837.cloudvdn.com/a.m3u8?domain=liveshowbak2.kan0512.com&player=VooAANf18QP9F-QW&secondToken=secondToken%3AMc0mRObNpYc8gL7T_KxOb7N02NI&streamid=ksz-norecord%3Aksz-norecord%2Fcsztv4k_4k&v3=1&$3840x2160
苏州4K,http://3740480837.cloudvdn.com/a.m3u8?domain=liveshowbak2.kan0512.com&player=X7wAAPMizr_MF-gW&secondToken=secondToken%3A08GykFLGXy4k9xKOwtRpMVC8WOU&streamid=ksz-norecord%3Aksz-norecord%2Fcsztv4k_4k&v3=1&$3840x2160
影院4K,http://epg.112114.xyz/douyu/9249162?$18Mepg
南国都市,http://player.521fanli.cn/1691/gd/gztvm3u8.php?id=gzngds&&&$1920x1080
CCTV16,http://[2409:8087:4400:20:1:a0f:11:9]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227060/index.m3u8?$河南
CCTV16,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226236/index.m3u8?fmt=ts2hls?$50M江西
VR直播,http://[2409:8087:5c00:10:5::80]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225953/index.m3u8?$5M广西
VR直播,http://[2409:8087:5c00:10:5::147]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225944/index.m3u8?$5M广西
VR直播,http://[2409:8087:5c00:10:5::147]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225941/index.m3u8?$5M广西
大美河南 4K,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227060/index.m3u8?$河南
大美河南 4K,http://[2409:8087:4402:20:1:1216:401:2e]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227060/index.m3u8?$河南
爱自然,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8?$3840x2160
FASHION 4K,http://fash2043.cloudycdn.services//slive/_definst_/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/chunklist_b10668000_t64NGs=.m3u8?$6M3840x2160
Clarity4K,https://d3thiix3tzne5u.cloudfront.net/playlist2160p.m3u8?$10M3840x2160
LoveNature4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8?$10M3840x2160
1MV4K,http://136.243.42.146:1499?$德国
VTC13 4K,http://vcdn1.vtc.gov.vn:1935/m_4k/smil:4k.smil/playlist.m3u8?$3840x2160

卫视蓝光,#genre#
东方卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8
东方卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225659/index.m3u8
江苏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225743/index.m3u8
江苏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225702/index.m3u8
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225674/index.m3u8
湖南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225745/index.m3u8
湖南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225704/index.m3u8
山东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225738/index.m3u8
山东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225697/index.m3u8
东南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8
广东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225742/index.m3u8
广东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225701/index.m3u8
